object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
Room 1,100,IR,112,1,12,Associated to UFHC,R,val_u1,YES,YES,YES,0 .. NONE 73 .. ITC1 (Address of modbus object) 74 .. ITC2 (Address of modbus object) 77 .. HCC1 (Address of modbus object) 78 .. HCC2 (Address of modbus object) 79 .. HCC3 (Address of modbus object)
Room 1,100,IR,114,1,14,Associated to Drying (humidity control),R,val_u1,YES,YES,YES,0 .. NONE 650 .. DEHUM 1 (Address of modbus object) 651 .. DEHUM 2 (Address of modbus object) 652 .. DEHUM 3 (Address of modbus object) 653 .. DEHUM 4 (Address of modbus object)
Room 1,100,IR,115,1,15,Associated to Thermal integration (thermal. integ control),R,val_u1,YES,YES,YES,0 .. NONE 650 .. DEHUM 1 (Address of modbus object) 651 .. DEHUM 2 (Address of modbus object) 652 .. DEHUM 3 (Address of modbus object) 653 .. DEHUM 4 (Address of modbus object)
Room 1,100,IR,116,1,16,Associated to Ventilation (air quality control),R,val_u1,-,YES,YES,0 .. NONE 610 .. Ventilation 1 (Address of modbus object) 611 .. Ventilation 2 (Address of modbus object)
Room 1,100,IR,117,1,17,Radiators state (air temperature),R,val_u1,YES,YES,YES,0 NONE (not used in this room or load was not detected on at least one output) 1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
Room 1,100,IR,118,1,18,Underfloor Heating/Cooling state (floor temperature),R,val_u1,YES,YES,YES,0 NONE (not used in this room or load was not detected on at least one output) 1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
Room 1,100,IR,119,1,19,Drying state (relative humidity),R,val_u1,YES,YES,YES,0 NONE (not used in this room) 1 IDLE 2 DRYING 3 BLOCKED_DRYING
Room 1,100,IR,120,1,20,Thermal integration state (air temperature),R,val_u1,YES,YES,YES,0 NONE (not used in this room) 1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
Room 1,100,IR,121,1,21,Ventilation state,R,val_u1,-,YES,YES,0 NONE (not used in this room) 1 STOPPED 2 UNOCCUPIED 3 ECONOMY 4 COMFORT 5 BOOST 6 BLOCKED
Room 1,100,IR,122,1,22,Blocking source - Radiators,R,val_u1,YES,YES,YES,Same as Heating/Cooling blocking source
Room 1,100,IR,123,1,23,Blocking source - Underfloor Heating/Cooling,R,val_u1,YES,YES,YES,Same as Heating/Cooling blocking source
Room 1,100,IR,124,1,24,Blocking source - Drying,R,val_u1,YES,YES,YES,Same as Heating/Cooling blocking source
Room 1,100,IR,125,1,25,Blocking source - Integration,R,val_u1,YES,YES,YES,Same as Heating/Cooling blocking source
Room 1,100,IR,126,1,26,Blocking source - Ventilation,R,val_u1,-,YES,YES,Same as Heating/Cooling blocking source
Room 1,100,IR,127,1,27,Room type,R,val_u1,YES,YES,YES,0 - NORMAL (DEFAULT) 1 - DUMMY (no thermostat or sensor installed)
Room 1,100,IR,128,1,28,Associated Heating Source,R,val_u1,YES,YES,YES,0 .. NONE 73 .. ITC1 (Address of modbus object) 74 .. ITC2 (Address of modbus object) 77 .. HCC1 (Address of modbus object) 78 .. HCC2 (Address of modbus object) 79 .. HCC3 (Address of modbus object) 81 .. H/C Source (Address of modbus object)
Room 1,100,HR,101,16,1,Room name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Room 1,100,HR,117,1,17,Room mode,R/W,val_u1,YES,YES,YES,"0 SCHEDULE 1 MANUAL In SCHEDULE mode, the “Room temperature setpoint” is not used and the room temperature is controlled by scheduler."
Room 1,100,HR,118,1,18,Room mode override,R/W,val_u1,YES,YES,YES,"0 NONE 1 TEMPORARY 2 VACATION_AWAY 3 ADJUST NORMAL ROOM: In override mode (> NONE), the “Room temperaturesetpoint” is not used. The requested temperature is corrected by user via room thermostat or mobile application. You can disable the override mode by setting this value to 0 (NONE) DUMMY ROOM: In override mode (> NONE), the “Room temperature preset” is not used. The requested temperature preset is changed by user via LCD or mobile application. You can disable the override mode by setting this value to 0 (NONE)"
Room 1,100,HR,119,1,19,Room temperature setpoint,R/W,val_d2_fp100,YES,YES,YES,"Temperature requested by user. This values is not used when - Room mode = SCHEDULE (Scheduler temperature is used) - Location.Vacation = ON (Vacation temperature is used) - Location.Standby = ON (Standby temperature is used) - Temporary mode is activated (User defined temperature is used) Writing invalid value (327,67) stops room heating/cooling demand only when Vacation or Standby is not active."
Room 1,100,HR,120,1,20,User Interface access level (thermostat lock),R/W,val_u1,YES,YES,YES,8 LOCKED (Read Only) 16 HOTEL 32 UNLOCKED
