object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
Sentio ITC1,7300,HR,7332,1,32,Optimization - boost,R/W,val_u1,YES,YES,YES,"Boost desired temperature by ""Optimization - boost flow"" for 1 hour 0 DISABLED 1 ENABLED"
Sentio ITC1,7300,HR,7333,1,33,Optimization - boost flow,R/W,val_u1,YES,YES,YES,Boost flow
Sentio ITC1,7300,HR,7334,1,34,Optimization - ramping,R/W,val_u1,YES,YES,YES,Rise desired temperature over ramping time. 0 DISABLED 1 ENABLED
Sentio ITC1,7300,HR,7335,1,35,Optimization - ramping time,R/W,val_u1,YES,YES,YES,Ramping time
Sentio ITC1,7300,HR,7336,1,36,Frost protection - Mode,R/W,val_u1,YES,YES,YES,"Activate heating in assigned loops whe inlet temperature drops bellow ""Frost protection - Temp"""
Sentio ITC1,7300,HR,7337,1,37,Frost protection - Temp,R/W,val_d2_fp100,YES,YES,YES,Frost protection limit
Sentio ITC1,7300,HR,7338,1,38,High Temp Cut-Off - Mode,R/W,val_u1,YES,YES,YES,"Heating is blocked, when inlet temperature exceeds the limit. Alarm is raised, pump is switched off (ignoring all pump delay). 0 DISABLED 1 ENABLED"
Sentio ITC1,7300,HR,7339,1,39,High Temp Cut-Off - Temp,R/W,val_d2_fp100,YES,YES,YES,Limit temperature for High Temp Cut-Off
Sentio ITC1,7300,HR,7340,1,40,Cooling Regulator - P value,R/W,val_d2_fp10,YES,YES,YES,Proportional gain of temperature regulator in cooling mode
Sentio ITC1,7300,HR,7341,1,41,Cooling Regulator - I value,R/W,val_u2,YES,YES,YES,Integrating time of temperature regulator in cooling mode
Sentio ITC1,7300,HR,7342,1,42,Cooling Regulator - Hysteresis,R/W,val_d2_fp100,YES,YES,YES,Hysteresis in cooling mode
Sentio ITC1,7300,HR,7343,1,43,Cooling inlet temp min,R/W,val_d2_fp100,YES,YES,YES,Lowest possible temperature in cooling mode
Sentio ITC1,7300,HR,7344,1,44,Cooling inlet temp max,R/W,val_d2_fp100,YES,YES,YES,Highest possible temperature in cooling mode
HCC1,7700,DI,7701,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in ITC
HCC1,7700,DI,7702,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in ITC
HCC1,7700,DI,7703,1,3,Error - inlet sensor failure,R,,YES,YES,YES,
HCC1,7700,DI,7704,1,4,Error - High temp cut-off activated,R,,YES,YES,YES,"Safety mechanism ""high temp cut-off"" is activated"
HCC1,7700,IR,7701,1,1,State,R,val_u1,YES,YES,YES,1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
HCC1,7700,IR,7702,1,2,Blocking source,R,val_u1,YES,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
HCC1,7700,IR,7703,1,3,Pump - Demand,R,val_u1,YES,YES,YES,1 IDLE 2 ON
HCC1,7700,IR,7704,1,4,Pump - State,R,val_u1,YES,YES,YES,1 IDLE 2 ON
HCC1,7700,IR,7705,1,5,Measured inlet temperature,R,val_d2_fp100,YES,YES,YES,Measured temperature of the inlet heating/cooling water.
HCC1,7700,IR,7706,1,6,Desired inlet temperature,R,val_d2_fp100,YES,YES,YES,Desired temperature of the inlet heating/cooling water. The value which the ITC regulator wants to meet.
HCC1,7700,IR,7708,1,8,Desired room temperature by consumers,R,val_d2_fp100,-,-,YES,Desired room temperature by consumers
HCC1,7700,HR,7701,16,1,Name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
HCC1,7700,HR,7717,1,17,Heat curve - type,R/W,val_u1,YES,YES,YES,0 MANUAL 1 CALCULATED 2 UNDERFLOOR 3 RADIATORS
HCC1,7700,HR,7718,1,18,Heat curve - manual slope,R/W,val_d2_fp10,YES,YES,YES,Curve slope. Used only in MANUAL
HCC1,7700,HR,7719,1,19,Heat curve - parallel displacement,R/W,val_d2_fp100,YES,YES,YES,Shifts calculated temperature up/down
HCC1,7700,HR,7720,1,20,Heat curve - min inlet,R/W,val_d2_fp100,YES,YES,YES,Lowest possible temperature
HCC1,7700,HR,7721,1,21,Heat curve - max inlet,R/W,val_d2_fp100,YES,YES,YES,Highest possible temperature
HCC1,7700,HR,7722,1,22,Heat curve - gain,R/W,val_d2_fp10,YES,YES,YES,Static gain of desired temperature calculation
HCC1,7700,HR,7723,1,23,High Temp Cut-Off - Mode,R/W,val_u1,YES,YES,YES,"Heating is blocked, when inlet temperature exceeds the limit. Alarm is raised, pump is switched off (ignoring all pump delay). 0 DISABLED 1 ENABLED"
HCC1,7700,HR,7724,1,24,High Temp Cut-Off - Temp,R/W,val_d2_fp100,YES,YES,YES,Limit temperature for High Temp Cut-Off
H/C Source,8100,DI,8101,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in H/C Source
H/C Source,8100,DI,8102,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in H/C Source
H/C Source,8100,DI,8103,1,3,Error general failure,R,,YES,YES,YES,General failure
H/C Source,8100,IR,8101,1,1,State,R,val_u1,YES,YES,YES,1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
Boiler/Heat Pump,8200,DI,8201,1,1,Aggregated warning,R,,-,-,YES,A problem is pending in Boiler/Heat Pump
Boiler/Heat Pump,8200,DI,8202,1,2,Aggregated error,R,,-,-,YES,A critical problem is pending in Boiler/Heat Pump
Boiler/Heat Pump,8200,DI,8203,1,3,Error - inlet temp sensor failure,R,,-,-,YES,Inlet temperature sensors failure
Boiler/Heat Pump,8200,DI,8204,1,4,Error - general failure,R,,-,-,YES,General failure
Boiler/Heat Pump,8200,IR,8201,1,1,State,R,val_u1,-,-,YES,1 IDLE 2 HEATING_PREPARE 3 HEATING_ACTIVE 4 HEATING_TERMINATE 5 COOLING_PREPARE 6 COOLING_ACTIVE 7 COOLING_TERMINATE 8 BLOCKED_HEATING 9 BLOCKED_COOLING 10 FAILURE
Boiler/Heat Pump,8200,IR,8202,1,2,Blocking source,R,val_u1,-,-,YES,Please check top of the document - GENERAL BLOCKING SOURCES
Boiler/Heat Pump,8200,IR,8203,1,3,Inlet temperature,R,val_d2_fp100,-,-,YES,Measured temperature of the inlet heating/cooling water.
Boiler/Heat Pump,8200,IR,8204,1,4,Requested temperature,R,val_d2_fp100,-,-,YES,Requested temperature for heat pump
Boiler/Heat Pump,8200,HR,8201,16,1,Name,R/W,val_utf8,-,-,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Boiler/Heat Pump,8200,HR,8217,1,17,Minimum runtime [min],R/W,val_u2,-,-,YES,Minimum runtime in minutes
Boiler/Heat Pump,8200,HR,8218,1,18,Minimum cycle delay [min],R/W,val_u2,-,-,YES,Minimum cycle delay in minutes
Boiler/Heat Pump,8200,HR,8219,1,19,Demand start delay [min],R/W,val_u2,-,-,YES,Demand start delay in minutes
Boiler/Heat Pump,8200,HR,8220,1,20,Demand stop delay [min],R/W,val_u2,-,-,YES,Demand stop delay in minutes
Buffer Tank,8300,DI,8301,1,1,Aggregated warning,R,,-,-,YES,A problem is pending in Buffer Tank
Buffer Tank,8300,DI,8302,1,2,Aggregated error,R,,-,-,YES,A critical problem is pending in Buffer Tank
Buffer Tank,8300,DI,8303,1,3,Error - inlet temp sensor failure,R,,-,-,YES,Inlet temperature sensors failure
Buffer Tank,8300,DI,8304,1,4,Error - priority temp sensor failure,R,,-,-,YES,Prority temperature sensor failure
Buffer Tank,8300,DI,8305,1,5,Error - upper temp sensor failure,R,,-,-,YES,Upper temperature sensor failure
Buffer Tank,8300,DI,8306,1,6,Error - lower temp sensor failure,R,,-,-,YES,Lower temperature sensor failure
Buffer Tank,8300,IR,8301,1,1,State,R,val_u1,-,-,YES,1 IDLE 2 HEATING_PREPARE 3 HEATING_ACTIVE 4 HEATING_TERMINATE 5 COOLING_PREPARE 6 COOLING_ACTIVE 7 COOLING_TERMINATE 8 BLOCKED_HEATING 9 BLOCKED_COOLING 10 FAILURE
Buffer Tank,8300,IR,8302,1,2,Blocking source,R,val_u1,-,-,YES,Please check top of the document - GENERAL BLOCKING SOURCES
Buffer Tank,8300,IR,8303,1,3,Source inlet temperature,R,val_d2_fp100,-,-,YES,Measured temperature of the source inlet heating/cooling water.
Buffer Tank,8300,IR,8304,1,4,Buffer upper temperature,R,val_d2_fp100,-,-,YES,Buffer tank upper temperature
Buffer Tank,8300,IR,8305,1,5,Buffer lower temperature,R,val_d2_fp100,-,-,YES,Buffer tank lower temperature
Buffer Tank,8300,HR,8301,16,1,Name,R/W,val_utf8,-,-,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Buffer Tank,8300,HR,8317,1,17,Start difference [K],R/W,val_d2_fp100,-,-,YES,Start charging difference in kelvins
Buffer Tank,8300,HR,8318,1,18,Stop difference [K],R/W,val_d2_fp100,-,-,YES,Stop charging difference in kelvins
Buffer Tank,8300,HR,8319,1,19,Sensor priority,R/W,val_u1,-,-,YES,0 - UPPER_SENSOR 1 - LOWER_SENSOR
Buffer Tank,8300,HR,8320,1,20,Flow balancing,R/W,val_u1,-,-,YES,0 - DISABLE 1 - ENABLE
Buffer Tank,8300,HR,8321,1,21,Charge mode,R/W,val_u1,-,-,YES,0 - CONSUMER_ONLY 1 - DEMAND_TRIGGERED
Buffer Tank,8300,HR,8322,1,22,Charge evaluation delay [min],R/W,val_u1,-,-,YES,Charge evaluation delay in minutes
Thermistor Inputs,12800,IR,12801,1,1,T1 - Thermistor input temp,R,val_d2_fp100,-,-,YES,T1 temperature
Thermistor Inputs,12800,IR,12802,1,2,T2 - Thermistor input temp,R,val_d2_fp100,-,-,YES,T2 temperature
Thermistor Inputs,12800,IR,12803,1,3,T3 - Thermistor input temp,R,val_d2_fp100,-,-,YES,T3 temperature
Thermistor Inputs,12800,IR,12804,1,4,T4 - Thermistor input temp,R,val_d2_fp100,-,-,YES,T4 temperature
Thermistor Inputs,12800,IR,12805,1,5,T5 - Thermistor input temp,R,val_d2_fp100,-,-,YES,T5 temperature
Peripheral 1,51200,DI,51201,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in Room
Peripheral 1,51200,DI,51202,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in Room
Peripheral 1,51200,DI,51203,1,3,Warning - low battery,R,,YES,YES,YES,Battery is low in the peripheral.
Peripheral 1,51200,DI,51204,1,4,Error - peripheral lost,R,,YES,YES,YES,Peripheral is not responding.
Peripheral 1,51200,IR,51201,1,1,Type,R,val_u2,YES,YES,YES,"Peripheral type - Sensor, Termostat, see table at the top"
Peripheral 1,51200,IR,51202,2,2,SN,R,val_u4,YES,YES,YES,Serial number
Peripheral 1,51200,IR,51204,1,4,Owner,R,val_u2,YES,YES,YES,000 - Location 001 - Room 1 … 016 - Room 16 NOTE: Object address in this modbus table is used as owner_id
Peripheral 1,51200,IR,51205,1,5,Signal strength,R,val_u1,YES,YES,YES,"Peripheral Signal strength 0 - 6, 0 - worst signal … 6 - best signal"
Peripheral 1,51200,HR,51201,16,1,Peripheral name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Ventilation 1,61000,DI,61001,1,1,Aggregated warning,R,,-,YES,YES,A problem is pending in device
Ventilation 1,61000,DI,61002,1,2,Aggregated error,R,,-,YES,YES,A critical problem is pending in device
Ventilation 1,61000,DI,61003,1,3,Warning - air filter lifetime expired,R,,-,YES,YES,Air filter lifetime expired
Ventilation 1,61000,DI,61004,1,4,Warning - air filter solar year passed,R,,-,YES,YES,Air filter solar year passed from last air filter change
Ventilation 1,61000,DI,61005,1,5,Warning - device specific,R,,-,YES,YES,Read code from input register - Warning-device specific
Ventilation 1,61000,DI,61006,1,6,Error - device fault,R,,-,YES,YES,General problem
Ventilation 1,61000,DI,61007,1,7,Error - communication error,R,,-,YES,YES,Communication error
Ventilation 1,61000,DI,61008,1,8,Error - not compatible,R,,-,YES,YES,Not compatible
Ventilation 1,61000,DI,61009,1,9,Error - device specific,R,,-,YES,YES,Read code from input register - Error-device specific
Ventilation 1,61000,IR,61001,16,1,Device model,R,val_utf8,-,YES,YES,Device model
Ventilation 1,61000,IR,61017,2,17,Warning - device specific code,R,val_u4,-,YES,YES,Device specific warning code
Ventilation 1,61000,IR,61019,2,19,Error - device specific code,R,val_u4,-,YES,YES,Device specific error code
Ventilation 1,61000,IR,61021,2,21,Device feature bits,R,val_u4,-,YES,YES,Specific features (capabilities) device has 0x0001 - ALLOW_UNOCCUPIED 0x0002 - ALLOW_ECO 0x0004 - ALLOW_COMFORT 0x0008 - ALLOW_STOPPED 0x0010 - ALLOW_BOOST 0x0020 - ALLOW_BYPASS 0x0040 - FAN_PWM_CONTROL 0x0080 - FAN_BINARY_CONTROL 0x0100 - TEMP_INTAKE 0x0200 - TEMP_SUPPLY 0x0400 - TEMP_EXTRACT 0x0800 - TEMP_EXHAUST 0x1000 - HUMIDITY_INTAKE 0x2000 - HUMIDITY_EXTRACT 0x4000 - FAN_SPEED_FEEDBACK
Ventilation 1,61000,IR,61023,1,23,Ventilation state,R,val_u1,-,YES,YES,0 - STOPPED 1 - UNOCCUPIED 2 - ECONOMY 3 - COMFORT 4 - BOOST 5 - BLOCKED_STOPPED 6 - BLOCKED_UNOCCUPIED 7 - BLOCKED_ECONOMY 8 - BLOCKED_COMFORT 9 - BLOCKED_BOOST 10 - FAILURE 11 - MAINTENANCE
Ventilation 1,61000,IR,61024,1,24,Ventilation blocking,R,val_u1,-,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
Ventilation 1,61000,IR,61025,1,25,Supply fan speed actual [rpm],R,val_u2,-,YES,YES,Supply fan speed actual [rpm]
Ventilation 1,61000,IR,61026,1,26,Exhaust fan speed actual [rpm],R,val_u2,-,YES,YES,Exhaust fan speed actual [rpm]
Ventilation 1,61000,IR,61027,1,27,Supply fan speed setpoint [%],R,val_d2_fp100,-,YES,YES,Supply fan speed setpoint [%]
Ventilation 1,61000,IR,61028,1,28,Exhaust fan speed setpoint [%],R,val_d2_fp100,-,YES,YES,Exhaust fan speed setpoint [%]
Ventilation 1,61000,IR,61029,1,29,Supply volume flow setpoint [m^3/h],R,val_u2,-,YES,YES,Supply volume flow setpoint [m^3/h]
Ventilation 1,61000,IR,61030,1,30,Exhaust volume flow setpoint [m^3/h],R,val_u2,-,YES,YES,Exhaust volume flow setpoint [m^3/h]
Ventilation 1,61000,IR,61031,1,31,Intake air temperature,R,val_d2_fp100,-,YES,YES,Intake air temperature
Ventilation 1,61000,IR,61032,1,32,Supply air temperature,R,val_d2_fp100,-,YES,YES,Supply air temperature
Ventilation 1,61000,IR,61033,1,33,Extract air temperature,R,val_d2_fp100,-,YES,YES,Extract air temperature
Ventilation 1,61000,IR,61034,1,34,Exhaust air temperature,R,val_d2_fp100,-,YES,YES,Exhaust air temperature
Ventilation 1,61000,IR,61035,1,35,Heat recovery bypass damper position [%],R,val_d2_fp100,-,YES,YES,Heat recovery bypass damper position [%]
Ventilation 1,61000,IR,61036,1,36,Free cooling enabled,R,val_u1,-,YES,YES,Free cooling enabled
Ventilation 1,61000,IR,61037,2,37,Air filter last change,R,val_u4,-,YES,YES,"Timestamp, updates when register ""Air filter lifetime used"" is set to zero"
Ventilation 1,61000,HR,61001,16,1,Device name,R/W,val_utf8,-,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Ventilation 1,61000,HR,61017,2,17,Air filter lifetime,R/W,val_u4,-,YES,YES,Air filter lifetime (minutes) - maximum value is dependent on device model
Ventilation 1,61000,HR,61019,2,19,Air filter lifetime used,R/W,val_u4,-,YES,YES,Write 0 to reset timer
Ventilation 1,61000,HR,61021,1,21,Exhaust Fan Level Unoccupied [%],R/W,val_d2_fp100,-,YES,YES,Exhaust Fan Level Unoccupied [%]
Ventilation 1,61000,HR,61022,1,22,Exhaust Fan Level Eco [%],R/W,val_d2_fp100,-,YES,YES,Exhaust Fan Level Eco [%]
Ventilation 1,61000,HR,61023,1,23,Exhaust Fan Level Comfort [%],R/W,val_d2_fp100,-,YES,YES,Exhaust Fan Level Comfort [%]
Ventilation 1,61000,HR,61024,1,24,Exhaust Fan Level Boost [%],R/W,val_d2_fp100,-,YES,YES,Exhaust Fan Level Boost [%]
Ventilation 1,61000,HR,61025,1,25,Supply Fan Level Unoccupied [%],R/W,val_d2_fp100,-,YES,YES,Supply Fan Level Unoccupied [%]
Ventilation 1,61000,HR,61026,1,26,Supply Fan Level Eco [%],R/W,val_d2_fp100,-,YES,YES,Supply Fan Level Eco [%]
Ventilation 1,61000,HR,61027,1,27,Supply Fan Level Comfort [%],R/W,val_d2_fp100,-,YES,YES,Supply Fan Level Comfort [%]
Ventilation 1,61000,HR,61028,1,28,Supply Fan Level Boost [%],R/W,val_d2_fp100,-,YES,YES,Supply Fan Level Boost [%]
Ventilation 1,61000,HR,61029,1,29,Exhaust Fan Level Unoccupied [m^3/h],R/W,val_u2,-,YES,YES,Exhaust Fan Level Unoccupied [m^3/h]
Ventilation 1,61000,HR,61030,1,30,Exhaust Fan Level Eco [m^3/h],R/W,val_u2,-,YES,YES,Exhaust Fan Level Eco [m^3/h]
Ventilation 1,61000,HR,61031,1,31,Exhaust Fan Level Comfort [m^3/h],R/W,val_u2,-,YES,YES,Exhaust Fan Level Comfort [m^3/h]
Ventilation 1,61000,HR,61032,1,32,Exhaust Fan Level Boost [m^3/h],R/W,val_u2,-,YES,YES,Exhaust Fan Level Boost [m^3/h]
Ventilation 1,61000,HR,61033,1,33,Exhaust Fan Level Boost [m^3/h],R/W,val_u2,-,YES,YES,Supply Fan Level Unoccupied [m^3/h]
Ventilation 1,61000,HR,61034,1,34,Supply Fan Level Eco [m^3/h],R/W,val_u2,-,YES,YES,Supply Fan Level Eco [m^3/h]
Ventilation 1,61000,HR,61035,1,35,Supply Fan Level Comfort [m^3/h],R/W,val_u2,-,YES,YES,Supply Fan Level Comfort [m^3/h]
Ventilation 1,61000,HR,61036,1,36,Supply Fan Level Boost [m^3/h],R/W,val_u2,-,YES,YES,Supply Fan Level Boost [m^3/h]
Ventilation 1,61000,HR,61037,1,37,Allow Stopped level,R/W,val_u1,-,YES,YES,Allow Stopped level 0 - NOT ALLOWED 1 - ALLOWED
Ventilation 1,61000,HR,61038,1,38,Allow Unoccupied level,R/W,val_u1,-,YES,YES,Allow Unoccupied level 0 - NOT ALLOWED 1 - ALLOWED
Ventilation 1,61000,HR,61039,1,39,Standby mode level,R/W,val_u1,-,YES,YES,0 - STOPPED 1 - UNOCCUPIED 2 - ECONOMY
Ventilation 1,61000,HR,61040,1,40,Vacation mode level,R/W,val_u1,-,YES,YES,0 - STOPPED 1 - UNOCCUPIED 2 - ECONOMY
Ventilation 1,61000,HR,61041,1,41,Heat exchange mode (recovery bypass),R/W,val_u1,-,YES,YES,0 - ALWAYS ON 1 - AUTOMATIC
Dehumidifier 1,65000,DI,65001,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in device
Dehumidifier 1,65000,DI,65002,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in device
Dehumidifier 1,65000,DI,65003,1,3,Warning - air filter lifetime expired,R,,YES,YES,YES,Air filter lifetime expired
Dehumidifier 1,65000,DI,65004,1,4,Warning - air filter solar year passed,R,,YES,YES,YES,Air filter solar year passed from last air filter change
Dehumidifier 1,65000,DI,65005,1,5,Error - HCW supplier,R,,YES,YES,YES,Heating/Cooling water supplier is not set
Dehumidifier 1,65000,DI,65006,1,6,Error - device fault,R,,YES,YES,YES,Device fault - general signal from device
Dehumidifier 1,65000,IR,65001,1,1,Type,R,val_u1,YES,YES,YES,Device type 0 GENERIC 1 P300_S300 2 PC300_SC300
Dehumidifier 1,65000,IR,65003,1,3,Drying status,R,val_u1,YES,YES,YES,0 NONE (function not available) 1 IDLE 2 DRYING 3 BLOCKED_DRYING
Dehumidifier 1,65000,IR,65004,1,4,Drying blocking,R,val_u1,YES,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
Dehumidifier 1,65000,IR,65005,1,5,Thermal integration status,R,val_u1,YES,YES,YES,0 NONE (function not available) 1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
Dehumidifier 1,65000,IR,65006,1,6,Thermal integration blocking,R,val_u1,YES,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
Dehumidifier 1,65000,IR,65007,1,7,Thermal Integ. demand condition,R,val_u1,YES,YES,YES,100 - IN ANY ROOM 101 - IN ALL ROOMS 1-32 - PARTICULAR ROOM (Address of modbus object)
Dehumidifier 1,65000,IR,65010,2,10,Air filter last change,R,val_u4,YES,YES,YES,"Timestamp, updates when register ""Air filter lifetime used"" is set to zero"
Dehumidifier 1,65000,IR,65012,1,12,Associated HCW supplier,R,val_u1,YES,YES,YES,0 .. NONE 73 .. ITC1 (Address of modbus object) 74 .. ITC2 (Address of modbus object) 77 .. HCC1 (Address of modbus object) 78 .. HCC2 (Address of modbus object) 79 .. HCC3 (Address of modbus object) 81 .. H/C Source (Address of modbus object)
Dehumidifier 1,65000,HR,65001,16,1,Device name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Dehumidifier 1,65000,HR,65017,2,17,Air filter lifetime,R/W,val_u4,YES,YES,YES,Air filter lifetime (minutes)
Dehumidifier 1,65000,HR,65019,2,19,Air filter lifetime used,R/W,val_u4,YES,YES,YES,Write 0 to reset timer
Dehumidifier 1,65000,HR,65021,1,21,Drying allow in mode,R/W,val_u1,YES,YES,YES,0 - IN COOLING MODE 1 - IN HEATING MODE 2 - IN BOTH
Dehumidifier 1,65000,HR,65022,1,22,Drying cooling water,R/W,val_d2_fp100,YES,YES,YES,Desired cooling water temperature
Dehumidifier 1,65000,HR,65023,1,23,Thermal integ. allow in mode,R/W,val_u1,YES,YES,YES,0 - IN COOLING MODE 1 - IN HEATING MODE 2 - IN BOTH
Dehumidifier 1,65000,HR,65024,1,24,Thermal integ. heating water temp,R/W,val_d2_fp100,YES,YES,YES,Desired heating water temperature
Dehumidifier 1,65000,HR,65025,1,25,Thermal integ. cooling water temp,R/W,val_d2_fp100,YES,YES,YES,Desired cooling water temperature
